"","province_state","lat","long","Date","Confirmed_Cases"
"1","Washington",47.4009,-121.4905,2020-03-10,267
"2","New York",42.1657,-74.9481,2020-03-10,173
"3","California",36.1162,-119.6816,2020-03-10,144
"4","Massachusetts",42.2302,-71.5301,2020-03-10,92
"5","Georgia",33.0406,-83.6431,2020-03-10,17
"6","Colorado",39.0598,-105.3111,2020-03-10,15
"7","Florida",27.7663,-81.6868,2020-03-10,15
"8","New Jersey",40.2989,-74.521,2020-03-10,15
"9","Oregon",44.572,-122.0709,2020-03-10,15
"10","Texas",31.0545,-97.5635,2020-03-10,13
"11","Illinois",40.3495,-88.9861,2020-03-10,12
"12","Pennsylvania",40.5908,-77.2098,2020-03-10,12
"13","Iowa",42.0115,-93.2105,2020-03-10,8
"14","Maryland",39.0639,-76.8021,2020-03-10,8
"15","North Carolina",35.6301,-79.8064,2020-03-10,7
"16","South Carolina",33.8569,-80.945,2020-03-10,7
"17","Tennessee",35.7478,-86.6923,2020-03-10,7
"18","Virginia",37.7693,-78.17,2020-03-10,7
"19","Arizona",33.7298,-111.4312,2020-03-10,6
"20","Indiana",39.8494,-86.2583,2020-03-10,6
"21","Kentucky",37.6681,-84.6701,2020-03-10,6
"22","District of Columbia",38.8974,-77.0268,2020-03-10,5
"23","Nevada",38.3135,-117.0554,2020-03-10,4
"24","New Hampshire",43.4525,-71.5639,2020-03-10,4
"25","Minnesota",45.6945,-93.9002,2020-03-10,3
"26","Nebraska",41.1254,-98.2681,2020-03-10,3
"27","Ohio",40.3888,-82.7649,2020-03-10,3
"28","Rhode Island",41.6809,-71.5118,2020-03-10,3
"29","Wisconsin",44.2685,-89.6165,2020-03-10,3
"30","Connecticut",41.5978,-72.7554,2020-03-10,2
"31","Hawaii",21.0943,-157.4983,2020-03-10,2
"32","Oklahoma",35.5653,-96.9289,2020-03-10,2
"33","Utah",40.15,-111.8624,2020-03-10,2
"34","Kansas",38.5266,-96.7265,2020-03-10,1
"35","Louisiana",31.1695,-91.8678,2020-03-10,1
"36","Missouri",38.4561,-92.2884,2020-03-10,1
"37","Vermont",44.0459,-72.7107,2020-03-10,1
"38","Alaska",61.3707,-152.4044,2020-03-10,0
"39","Arkansas",34.9697,-92.3731,2020-03-10,0
"40","Delaware",39.3185,-75.5071,2020-03-10,0
"41","Idaho",44.2405,-114.4788,2020-03-10,0
"42","Maine",44.6939,-69.3819,2020-03-10,0
"43","Michigan",43.3266,-84.5361,2020-03-10,0
"44","Mississippi",32.7416,-89.6787,2020-03-10,0
"45","Montana",46.9219,-110.4544,2020-03-10,0
"46","New Mexico",34.8405,-106.2485,2020-03-10,0
"47","North Dakota",47.5289,-99.784,2020-03-10,0
"48","South Dakota",44.2998,-99.4388,2020-03-10,0
"49","West Virginia",38.4912,-80.9545,2020-03-10,0
"50","Wyoming",42.756,-107.3025,2020-03-10,0
"51","Alabama",32.3182,-86.9023,2020-03-10,0
"52","Puerto Rico",18.2208,-66.5901,2020-03-10,0
"53","Guam",13.4443,144.7937,2020-03-10,0
"54","United States Virgin Islands",18.3358,-64.8963,2020-03-10,0
"55","US",37.0902,-95.7129,2020-03-10,0
"56","Washington",47.4009,-121.4905,2020-03-11,366
"57","New York",42.1657,-74.9481,2020-03-11,220
"58","California",36.1162,-119.6816,2020-03-11,177
"59","Massachusetts",42.2302,-71.5301,2020-03-11,95
"60","Georgia",33.0406,-83.6431,2020-03-11,23
"61","Colorado",39.0598,-105.3111,2020-03-11,34
"62","Florida",27.7663,-81.6868,2020-03-11,28
"63","New Jersey",40.2989,-74.521,2020-03-11,23
"64","Oregon",44.572,-122.0709,2020-03-11,19
"65","Texas",31.0545,-97.5635,2020-03-11,21
"66","Illinois",40.3495,-88.9861,2020-03-11,25
"67","Pennsylvania",40.5908,-77.2098,2020-03-11,16
"68","Iowa",42.0115,-93.2105,2020-03-11,13
"69","Maryland",39.0639,-76.8021,2020-03-11,9
"70","North Carolina",35.6301,-79.8064,2020-03-11,7
"71","South Carolina",33.8569,-80.945,2020-03-11,10
"72","Tennessee",35.7478,-86.6923,2020-03-11,9
"73","Virginia",37.7693,-78.17,2020-03-11,9
"74","Arizona",33.7298,-111.4312,2020-03-11,9
"75","Indiana",39.8494,-86.2583,2020-03-11,11
"76","Kentucky",37.6681,-84.6701,2020-03-11,8
"77","District of Columbia",38.8974,-77.0268,2020-03-11,10
"78","Nevada",38.3135,-117.0554,2020-03-11,7
"79","New Hampshire",43.4525,-71.5639,2020-03-11,5
"80","Minnesota",45.6945,-93.9002,2020-03-11,5
"81","Nebraska",41.1254,-98.2681,2020-03-11,5
"82","Ohio",40.3888,-82.7649,2020-03-11,4
"83","Rhode Island",41.6809,-71.5118,2020-03-11,5
"84","Wisconsin",44.2685,-89.6165,2020-03-11,6
"85","Connecticut",41.5978,-72.7554,2020-03-11,3
"86","Hawaii",21.0943,-157.4983,2020-03-11,2
"87","Oklahoma",35.5653,-96.9289,2020-03-11,2
"88","Utah",40.15,-111.8624,2020-03-11,3
"89","Kansas",38.5266,-96.7265,2020-03-11,1
"90","Louisiana",31.1695,-91.8678,2020-03-11,6
"91","Missouri",38.4561,-92.2884,2020-03-11,1
"92","Vermont",44.0459,-72.7107,2020-03-11,1
"93","Alaska",61.3707,-152.4044,2020-03-11,0
"94","Arkansas",34.9697,-92.3731,2020-03-11,1
"95","Delaware",39.3185,-75.5071,2020-03-11,1
"96","Idaho",44.2405,-114.4788,2020-03-11,0
"97","Maine",44.6939,-69.3819,2020-03-11,0
"98","Michigan",43.3266,-84.5361,2020-03-11,2
"99","Mississippi",32.7416,-89.6787,2020-03-11,0
"100","Montana",46.9219,-110.4544,2020-03-11,1
"101","New Mexico",34.8405,-106.2485,2020-03-11,3
"102","North Dakota",47.5289,-99.784,2020-03-11,0
"103","South Dakota",44.2998,-99.4388,2020-03-11,8
"104","West Virginia",38.4912,-80.9545,2020-03-11,0
"105","Wyoming",42.756,-107.3025,2020-03-11,0
"106","Alabama",32.3182,-86.9023,2020-03-11,0
"107","Puerto Rico",18.2208,-66.5901,2020-03-11,0
"108","Guam",13.4443,144.7937,2020-03-11,0
"109","United States Virgin Islands",18.3358,-64.8963,2020-03-11,0
"110","US",37.0902,-95.7129,2020-03-11,0
"111","Washington",47.4009,-121.4905,2020-03-12,442
"112","New York",42.1657,-74.9481,2020-03-12,328
"113","California",36.1162,-119.6816,2020-03-12,221
"114","Massachusetts",42.2302,-71.5301,2020-03-12,108
"115","Georgia",33.0406,-83.6431,2020-03-12,31
"116","Colorado",39.0598,-105.3111,2020-03-12,45
"117","Florida",27.7663,-81.6868,2020-03-12,35
"118","New Jersey",40.2989,-74.521,2020-03-12,29
"119","Oregon",44.572,-122.0709,2020-03-12,24
"120","Texas",31.0545,-97.5635,2020-03-12,27
"121","Illinois",40.3495,-88.9861,2020-03-12,32
"122","Pennsylvania",40.5908,-77.2098,2020-03-12,22
"123","Iowa",42.0115,-93.2105,2020-03-12,16
"124","Maryland",39.0639,-76.8021,2020-03-12,12
"125","North Carolina",35.6301,-79.8064,2020-03-12,15
"126","South Carolina",33.8569,-80.945,2020-03-12,12
"127","Tennessee",35.7478,-86.6923,2020-03-12,18
"128","Virginia",37.7693,-78.17,2020-03-12,17
"129","Arizona",33.7298,-111.4312,2020-03-12,9
"130","Indiana",39.8494,-86.2583,2020-03-12,13
"131","Kentucky",37.6681,-84.6701,2020-03-12,10
"132","District of Columbia",38.8974,-77.0268,2020-03-12,10
"133","Nevada",38.3135,-117.0554,2020-03-12,14
"134","New Hampshire",43.4525,-71.5639,2020-03-12,6
"135","Minnesota",45.6945,-93.9002,2020-03-12,9
"136","Nebraska",41.1254,-98.2681,2020-03-12,10
"137","Ohio",40.3888,-82.7649,2020-03-12,5
"138","Rhode Island",41.6809,-71.5118,2020-03-12,5
"139","Wisconsin",44.2685,-89.6165,2020-03-12,8
"140","Connecticut",41.5978,-72.7554,2020-03-12,5
"141","Hawaii",21.0943,-157.4983,2020-03-12,2
"142","Oklahoma",35.5653,-96.9289,2020-03-12,2
"143","Utah",40.15,-111.8624,2020-03-12,5
"144","Kansas",38.5266,-96.7265,2020-03-12,1
"145","Louisiana",31.1695,-91.8678,2020-03-12,19
"146","Missouri",38.4561,-92.2884,2020-03-12,1
"147","Vermont",44.0459,-72.7107,2020-03-12,2
"148","Alaska",61.3707,-152.4044,2020-03-12,0
"149","Arkansas",34.9697,-92.3731,2020-03-12,6
"150","Delaware",39.3185,-75.5071,2020-03-12,1
"151","Idaho",44.2405,-114.4788,2020-03-12,0
"152","Maine",44.6939,-69.3819,2020-03-12,0
"153","Michigan",43.3266,-84.5361,2020-03-12,2
"154","Mississippi",32.7416,-89.6787,2020-03-12,1
"155","Montana",46.9219,-110.4544,2020-03-12,1
"156","New Mexico",34.8405,-106.2485,2020-03-12,5
"157","North Dakota",47.5289,-99.784,2020-03-12,1
"158","South Dakota",44.2998,-99.4388,2020-03-12,8
"159","West Virginia",38.4912,-80.9545,2020-03-12,0
"160","Wyoming",42.756,-107.3025,2020-03-12,1
"161","Alabama",32.3182,-86.9023,2020-03-12,0
"162","Puerto Rico",18.2208,-66.5901,2020-03-12,0
"163","Guam",13.4443,144.7937,2020-03-12,0
"164","United States Virgin Islands",18.3358,-64.8963,2020-03-12,0
"165","US",37.0902,-95.7129,2020-03-12,0
"166","Washington",47.4009,-121.4905,2020-03-13,568
"167","New York",42.1657,-74.9481,2020-03-13,421
"168","California",36.1162,-119.6816,2020-03-13,282
"169","Massachusetts",42.2302,-71.5301,2020-03-13,123
"170","Georgia",33.0406,-83.6431,2020-03-13,42
"171","Colorado",39.0598,-105.3111,2020-03-13,49
"172","Florida",27.7663,-81.6868,2020-03-13,50
"173","New Jersey",40.2989,-74.521,2020-03-13,29
"174","Oregon",44.572,-122.0709,2020-03-13,30
"175","Texas",31.0545,-97.5635,2020-03-13,43
"176","Illinois",40.3495,-88.9861,2020-03-13,46
"177","Pennsylvania",40.5908,-77.2098,2020-03-13,41
"178","Iowa",42.0115,-93.2105,2020-03-13,17
"179","Maryland",39.0639,-76.8021,2020-03-13,18
"180","North Carolina",35.6301,-79.8064,2020-03-13,17
"181","South Carolina",33.8569,-80.945,2020-03-13,13
"182","Tennessee",35.7478,-86.6923,2020-03-13,26
"183","Virginia",37.7693,-78.17,2020-03-13,30
"184","Arizona",33.7298,-111.4312,2020-03-13,9
"185","Indiana",39.8494,-86.2583,2020-03-13,13
"186","Kentucky",37.6681,-84.6701,2020-03-13,14
"187","District of Columbia",38.8974,-77.0268,2020-03-13,10
"188","Nevada",38.3135,-117.0554,2020-03-13,17
"189","New Hampshire",43.4525,-71.5639,2020-03-13,6
"190","Minnesota",45.6945,-93.9002,2020-03-13,14
"191","Nebraska",41.1254,-98.2681,2020-03-13,13
"192","Ohio",40.3888,-82.7649,2020-03-13,13
"193","Rhode Island",41.6809,-71.5118,2020-03-13,14
"194","Wisconsin",44.2685,-89.6165,2020-03-13,19
"195","Connecticut",41.5978,-72.7554,2020-03-13,11
"196","Hawaii",21.0943,-157.4983,2020-03-13,2
"197","Oklahoma",35.5653,-96.9289,2020-03-13,2
"198","Utah",40.15,-111.8624,2020-03-13,9
"199","Kansas",38.5266,-96.7265,2020-03-13,5
"200","Louisiana",31.1695,-91.8678,2020-03-13,36
"201","Missouri",38.4561,-92.2884,2020-03-13,2
"202","Vermont",44.0459,-72.7107,2020-03-13,2
"203","Alaska",61.3707,-152.4044,2020-03-13,1
"204","Arkansas",34.9697,-92.3731,2020-03-13,6
"205","Delaware",39.3185,-75.5071,2020-03-13,4
"206","Idaho",44.2405,-114.4788,2020-03-13,1
"207","Maine",44.6939,-69.3819,2020-03-13,1
"208","Michigan",43.3266,-84.5361,2020-03-13,16
"209","Mississippi",32.7416,-89.6787,2020-03-13,1
"210","Montana",46.9219,-110.4544,2020-03-13,1
"211","New Mexico",34.8405,-106.2485,2020-03-13,10
"212","North Dakota",47.5289,-99.784,2020-03-13,1
"213","South Dakota",44.2998,-99.4388,2020-03-13,8
"214","West Virginia",38.4912,-80.9545,2020-03-13,0
"215","Wyoming",42.756,-107.3025,2020-03-13,1
"216","Alabama",32.3182,-86.9023,2020-03-13,5
"217","Puerto Rico",18.2208,-66.5901,2020-03-13,0
"218","Guam",13.4443,144.7937,2020-03-13,0
"219","United States Virgin Islands",18.3358,-64.8963,2020-03-13,0
"220","US",37.0902,-95.7129,2020-03-13,0
"221","Washington",47.4009,-121.4905,2020-03-14,572
"222","New York",42.1657,-74.9481,2020-03-14,525
"223","California",36.1162,-119.6816,2020-03-14,340
"224","Massachusetts",42.2302,-71.5301,2020-03-14,138
"225","Georgia",33.0406,-83.6431,2020-03-14,66
"226","Colorado",39.0598,-105.3111,2020-03-14,101
"227","Florida",27.7663,-81.6868,2020-03-14,76
"228","New Jersey",40.2989,-74.521,2020-03-14,69
"229","Oregon",44.572,-122.0709,2020-03-14,32
"230","Texas",31.0545,-97.5635,2020-03-14,57
"231","Illinois",40.3495,-88.9861,2020-03-14,64
"232","Pennsylvania",40.5908,-77.2098,2020-03-14,47
"233","Iowa",42.0115,-93.2105,2020-03-14,17
"234","Maryland",39.0639,-76.8021,2020-03-14,26
"235","North Carolina",35.6301,-79.8064,2020-03-14,24
"236","South Carolina",33.8569,-80.945,2020-03-14,19
"237","Tennessee",35.7478,-86.6923,2020-03-14,32
"238","Virginia",37.7693,-78.17,2020-03-14,41
"239","Arizona",33.7298,-111.4312,2020-03-14,12
"240","Indiana",39.8494,-86.2583,2020-03-14,16
"241","Kentucky",37.6681,-84.6701,2020-03-14,14
"242","District of Columbia",38.8974,-77.0268,2020-03-14,10
"243","Nevada",38.3135,-117.0554,2020-03-14,21
"244","New Hampshire",43.4525,-71.5639,2020-03-14,7
"245","Minnesota",45.6945,-93.9002,2020-03-14,21
"246","Nebraska",41.1254,-98.2681,2020-03-14,14
"247","Ohio",40.3888,-82.7649,2020-03-14,26
"248","Rhode Island",41.6809,-71.5118,2020-03-14,20
"249","Wisconsin",44.2685,-89.6165,2020-03-14,27
"250","Connecticut",41.5978,-72.7554,2020-03-14,22
"251","Hawaii",21.0943,-157.4983,2020-03-14,4
"252","Oklahoma",35.5653,-96.9289,2020-03-14,4
"253","Utah",40.15,-111.8624,2020-03-14,10
"254","Kansas",38.5266,-96.7265,2020-03-14,8
"255","Louisiana",31.1695,-91.8678,2020-03-14,77
"256","Missouri",38.4561,-92.2884,2020-03-14,4
"257","Vermont",44.0459,-72.7107,2020-03-14,5
"258","Alaska",61.3707,-152.4044,2020-03-14,1
"259","Arkansas",34.9697,-92.3731,2020-03-14,12
"260","Delaware",39.3185,-75.5071,2020-03-14,6
"261","Idaho",44.2405,-114.4788,2020-03-14,2
"262","Maine",44.6939,-69.3819,2020-03-14,3
"263","Michigan",43.3266,-84.5361,2020-03-14,25
"264","Mississippi",32.7416,-89.6787,2020-03-14,6
"265","Montana",46.9219,-110.4544,2020-03-14,5
"266","New Mexico",34.8405,-106.2485,2020-03-14,10
"267","North Dakota",47.5289,-99.784,2020-03-14,1
"268","South Dakota",44.2998,-99.4388,2020-03-14,9
"269","West Virginia",38.4912,-80.9545,2020-03-14,0
"270","Wyoming",42.756,-107.3025,2020-03-14,2
"271","Alabama",32.3182,-86.9023,2020-03-14,6
"272","Puerto Rico",18.2208,-66.5901,2020-03-14,3
"273","Guam",13.4443,144.7937,2020-03-14,0
"274","United States Virgin Islands",18.3358,-64.8963,2020-03-14,0
"275","US",37.0902,-95.7129,2020-03-14,0
"276","Washington",47.4009,-121.4905,2020-03-15,643
"277","New York",42.1657,-74.9481,2020-03-15,732
"278","California",36.1162,-119.6816,2020-03-15,426
"279","Massachusetts",42.2302,-71.5301,2020-03-15,164
"280","Georgia",33.0406,-83.6431,2020-03-15,99
"281","Colorado",39.0598,-105.3111,2020-03-15,131
"282","Florida",27.7663,-81.6868,2020-03-15,115
"283","New Jersey",40.2989,-74.521,2020-03-15,98
"284","Oregon",44.572,-122.0709,2020-03-15,36
"285","Texas",31.0545,-97.5635,2020-03-15,72
"286","Illinois",40.3495,-88.9861,2020-03-15,93
"287","Pennsylvania",40.5908,-77.2098,2020-03-15,66
"288","Iowa",42.0115,-93.2105,2020-03-15,18
"289","Maryland",39.0639,-76.8021,2020-03-15,32
"290","North Carolina",35.6301,-79.8064,2020-03-15,33
"291","South Carolina",33.8569,-80.945,2020-03-15,28
"292","Tennessee",35.7478,-86.6923,2020-03-15,39
"293","Virginia",37.7693,-78.17,2020-03-15,45
"294","Arizona",33.7298,-111.4312,2020-03-15,13
"295","Indiana",39.8494,-86.2583,2020-03-15,20
"296","Kentucky",37.6681,-84.6701,2020-03-15,20
"297","District of Columbia",38.8974,-77.0268,2020-03-15,16
"298","Nevada",38.3135,-117.0554,2020-03-15,24
"299","New Hampshire",43.4525,-71.5639,2020-03-15,13
"300","Minnesota",45.6945,-93.9002,2020-03-15,35
"301","Nebraska",41.1254,-98.2681,2020-03-15,17
"302","Ohio",40.3888,-82.7649,2020-03-15,37
"303","Rhode Island",41.6809,-71.5118,2020-03-15,20
"304","Wisconsin",44.2685,-89.6165,2020-03-15,32
"305","Connecticut",41.5978,-72.7554,2020-03-15,24
"306","Hawaii",21.0943,-157.4983,2020-03-15,6
"307","Oklahoma",35.5653,-96.9289,2020-03-15,7
"308","Utah",40.15,-111.8624,2020-03-15,28
"309","Kansas",38.5266,-96.7265,2020-03-15,8
"310","Louisiana",31.1695,-91.8678,2020-03-15,91
"311","Missouri",38.4561,-92.2884,2020-03-15,5
"312","Vermont",44.0459,-72.7107,2020-03-15,8
"313","Alaska",61.3707,-152.4044,2020-03-15,1
"314","Arkansas",34.9697,-92.3731,2020-03-15,16
"315","Delaware",39.3185,-75.5071,2020-03-15,7
"316","Idaho",44.2405,-114.4788,2020-03-15,5
"317","Maine",44.6939,-69.3819,2020-03-15,12
"318","Michigan",43.3266,-84.5361,2020-03-15,33
"319","Mississippi",32.7416,-89.6787,2020-03-15,10
"320","Montana",46.9219,-110.4544,2020-03-15,7
"321","New Mexico",34.8405,-106.2485,2020-03-15,13
"322","North Dakota",47.5289,-99.784,2020-03-15,1
"323","South Dakota",44.2998,-99.4388,2020-03-15,9
"324","West Virginia",38.4912,-80.9545,2020-03-15,0
"325","Wyoming",42.756,-107.3025,2020-03-15,3
"326","Alabama",32.3182,-86.9023,2020-03-15,12
"327","Puerto Rico",18.2208,-66.5901,2020-03-15,5
"328","Guam",13.4443,144.7937,2020-03-15,3
"329","United States Virgin Islands",18.3358,-64.8963,2020-03-15,0
"330","US",37.0902,-95.7129,2020-03-15,0
"331","Washington",47.4009,-121.4905,2020-03-16,904
"332","New York",42.1657,-74.9481,2020-03-16,967
"333","California",36.1162,-119.6816,2020-03-16,557
"334","Massachusetts",42.2302,-71.5301,2020-03-16,197
"335","Georgia",33.0406,-83.6431,2020-03-16,121
"336","Colorado",39.0598,-105.3111,2020-03-16,160
"337","Florida",27.7663,-81.6868,2020-03-16,155
"338","New Jersey",40.2989,-74.521,2020-03-16,178
"339","Oregon",44.572,-122.0709,2020-03-16,39
"340","Texas",31.0545,-97.5635,2020-03-16,85
"341","Illinois",40.3495,-88.9861,2020-03-16,105
"342","Pennsylvania",40.5908,-77.2098,2020-03-16,77
"343","Iowa",42.0115,-93.2105,2020-03-16,23
"344","Maryland",39.0639,-76.8021,2020-03-16,41
"345","North Carolina",35.6301,-79.8064,2020-03-16,38
"346","South Carolina",33.8569,-80.945,2020-03-16,33
"347","Tennessee",35.7478,-86.6923,2020-03-16,52
"348","Virginia",37.7693,-78.17,2020-03-16,49
"349","Arizona",33.7298,-111.4312,2020-03-16,18
"350","Indiana",39.8494,-86.2583,2020-03-16,25
"351","Kentucky",37.6681,-84.6701,2020-03-16,21
"352","District of Columbia",38.8974,-77.0268,2020-03-16,22
"353","Nevada",38.3135,-117.0554,2020-03-16,45
"354","New Hampshire",43.4525,-71.5639,2020-03-16,17
"355","Minnesota",45.6945,-93.9002,2020-03-16,54
"356","Nebraska",41.1254,-98.2681,2020-03-16,18
"357","Ohio",40.3888,-82.7649,2020-03-16,50
"358","Rhode Island",41.6809,-71.5118,2020-03-16,21
"359","Wisconsin",44.2685,-89.6165,2020-03-16,47
"360","Connecticut",41.5978,-72.7554,2020-03-16,30
